Source,Relationship,Target
monitoring_method,ensure,expenditure_track
order,ensure,consistency_agreement
order,become,change_stakeholder_attitude
order,capture,information
order,determine,project_progress
order,evaluate,risk_management_rule
order,evaluate,risk_profi_change
reference_project,defi,nition_document
analysis,take,factor
analysis,create,time
analysis,use,risk
analysis,provide,view
analysis,earn,value_analysis
analysis,earn,use
risk_management_approach,take,fact
address,provide,template_risk_register
address,recognize,tool
communication,occur,level
amount_time_effort,use,exist_approach
predefi,establish,project_management_methodology
risk_category,establish,project_management_methodology
risk_category,use,root_cause
risk_category,use,list
information,require,decision
information,prioritize,risk
information,remain,event
risk_management_plan,deliver,value
risk_management_plan,provide,use_process
team_approach,use,participant
tool,use,process
tool,assess,impact
tool,identify,address_situation
tool,support,success_factor
tool,use,need
take_account,register,decision
require,identify,risk_process
require,ensure,figure
section,maximize,value_effectiveness
likelihood,identify,risk
change_project_strategy,maximize,ciency
signifi,change,project_operating_environment
invoke,identify,risks_process
invoke,occur,impact_project_scope
risks_process,take,range_project_stakeholder
risk_note_risk,affect,risk
risk_description,require,state_uncertainty
risk_description,use,risk_metalanguage
cult,develop,response_assign_ownership
people,use,judgment
technique,identify,risk
technique,perform,technique_use
technique,monitor,addition
technique,give,constraint
technique,apply,risk
technique,use,decision
technique,perform,approach
technique,perform,risk_analysis
technique,monitor,monitor_control_risks
base,occur,project
assessment,rely,consideration
assessment_technique,rely,reference_point_base
ability_participant,think,technique_use
assessment_brainstorm_creativity,use,risk_breakdown_structure
technique_use,use,risk
technique_use,use,risk_analysis
technique_use,use,representation
technique_use,use,risk_management_process
technique_use,facilitate,expert
project_risk_process,focus,risk_distract
language,offer,risk
risk_analysis_process,perform,assess
project_risk_discuss,perform,risk_analysis_process
factor,lead,section
risk_management_figure,build,use
use,perform,risk_analysis_success
use,identify,response
use,identify,risk
risk_analysis_tool,provide,analysis
collection_evaluation_tool,include,database
objective,permit,risk_priority_term
objective,perform,risk_analysis_process
objective,describe,project
preference,create,risk
preference,achieve,project
instance,reveal,group
instance,reveal,strategy
implication_risk_project,identify,risk
mitigation,use,resource_combine_result
activity_address,reduce,uncertainty
priority,base,risk_probability
project_information,store,risk
watch_list_review,change,project_risk_management
uncertainty_project,use,simulation
insight_value,justify,effort
project_risk_focus,perform,project_risk
level,level,project
level,level,risk_analysis
level,assign,level_impact
detail,lend,risk
detail,give,technique_strengths
element,apply,analysis
organization_level_certainty,require,base
success,achieve,risk_analysis
risk_ensure,perform,risk_analysis_process
project_model,use,risk_analysis
quality_risk_data,ften,quality_datum_risk
ability,recognize,bias
bias,derive,risk
bias,take,time
possibility,address,risk_relate_ensure
probability_event,occur,outcome
example,use,duration
example,give,risk_analysis_section
tool_use_process,include,questionnaire
probability_risk,occur,result
probability,achieve,project
probability,occur,impact
result,perform,risk_analysis_process
result,monitor,monitor_control_risks
result_analysis,provide,risk_response
condition,implement,correspond_action
condition,monitor,perform_condition_warrant
condition,monitor,correspond_action
condition,take,context_response
part,identify,plan
r_esponse,implement,effect_project
effect_project_objective,generate,risk
risk_response_plan,integrate,order
risk_response_plan,set,risk_priority
manner_result_plan,disseminate,approval_obtain_order
schedule,obtain,approval_management
project_manager,develop,risk_response
project_manager,ensure,description
project_manager,maintain,item
aggregate,perform,e
response_strategy,require,compromise
response,cost,money
response,circulate,attribution_group
response,develop,action_require
challenge,plan,response_risk
strategy,develop,risk
level_threat_project,increase,opportunity_compromise
response_address_threat,provide,plan
risk_response_planning,carry,manner
effect_project_opportunity,occur,project
enhancement,use,tool
enhancement,use,action
enhancement,use,project_manager
enhancement,use,contingency_response_strategy
threat_opportunity_strategy,apply,strategy
acceptance_entail,take,action
project_risk_addition,respond,response_strategy
cid,cancel,project
cid,operate,signifi
cid,practice,example_template
level_risk,remain,cid
selection,set,response_risk_address
uncertainty,outcome,risk
uncertainty,effect,table_d
uncertainty,effect,assumption
risk_monitoring,identify,event
action_require,keep,project_manager
risk_responses_risk,register,response
register,update,stakeholder
record,add,project_management_plan
implication,evaluate,project_management_plan
change,approve,risk
change,affect,risk
change,increase,risk
assume,propose,project_risk_management
purpose_objectives,monitor,monitor_control_risks
response_action,include,check
case,take,action
project_environment,change,risk
analysis_response_plan,repeat,event
determine_strength_weakness,handle,risk
recognition,lead,project
action_propose,apply,step
track,project,project_risk_management
team_member,remain,importance_risk_management
way_risk,occur,event
risk_handle,occur,event
support,execute,communication_plan_tools
time_buffer,integrate,project_scheduling_technique
status,provide,information_risk
effect_project,monitor,quality_execution_risk
nition_information,include,storage_mechanism
information_signifi,process,signifi
example_template,include,background_description
need_cid,practice,guide
exploration,develop,fi
focus,place,project
weakness,include,background_description
contain_contradiction,use,term_text
product,open,practice
product,open,project_project_team
reviewer,practice,list
volunteer,develop,support
individual,serve,concept
individual,participate,project_team
individual,provide,recommendation
leader,follow,provide_signifi
tool_technique,develop,example
h,percentile,risk_breakdown_structure
h,project,schedule_date
reliability,take,precedence_time
feature,affect,urgency_deal_risk
template,identify,risk
attendance_attendance,speak,mind
duplicate,require,diagram
promote,become,impact
list,capture,check_list
list,ensure,coverage_topics
list,develop,use_risk
maintenance_experience,become,require
data_fault,use,tool
organisation,continue,table_d
interview_detail,raise,risk
encourage,allow,briefi
database,see,participation
technique_strengths_weaknesses,encourage,success
application_questionnaire,encourage,success
thinking,identify,briefi
breakdown,offer,framework
management_oversimplify,accept,address
facilitation_threat,generate,risk_arise
avoid,offer,strength
approach_weakness,exclude,perspective
wbs_element,provide,risk
constraint,ask,question
constraint,prove,lead_effect
example_constraint_analysis,field,description_analysis
result_brainstorm,identify,brainstorm
need,take,use
need,take,technique_risk
need,take,issue
project_experience,allow,use
checklist,include,threat_opportunity_figure
checklist,see,use
review_project_documentation,include,condition
review_project_documentation,include,stipulation
approach,adopted,template_example
failure,mode,effect
failure,mode,analysis
structure,identify,combination
fault_tree_analysis,use,use
lesson,learn,information_nformation
exercise,exist,information
prompt,list,list
prompt,list,template_example
risk_interview,see,technology
client,change,requirement_project
analysis_root,cause,cause_analysis
identifying,generate,risk_arise
assumption,indicate,figure
event,risks,example
event,occur,need
event,include,diffi_cult
d_techniques,perform,risk_analysis
nition,apply,probability
nition,apply,probability_impact_risk
p_matrix,require,analysis
matrix_p_matrix,prioritize,urgency
risk_method,use,risk_attitude
assist_creation_information,use,method
assist_creation_information,use,comparison
software,create,cause_analysis
chapter,estimate,technique
chapter,expect,value
chapter,adjust,priority_task
analyst,choose,represent
analysis_order,reduce,range_uncertainty_fi
show_matrix,include,threat_opportunity_figure
time_decide,use,software
hierarchy_process_computations,determine,answer
p,erform,risk_analysis
benefi,ts,probability
decision,access,quality_decision_tree
function_value_basis,validate,specify
availability,make,estimate
basis,solve,function
access,provide,datum_expert
outcome_emv,provide,datum_expert
simulation,monte,analysis
estimate,allow,schedule_risk
estimate,include,risk
bug,use,model
project_risk_use,produce,result
tree_analysis,perform,use
number,represent,problem
decision_option,take,decision_node
decision_option,take,figure
example_decision_tree,choose,technology
scenario,use,input_value
solution,use,input_value
contingency_reserve,provide,rationale
buffer,disturb,activity_date
threshold,use,schedule
threshold,provide,trigger_value_signifi
response_option,outcome,case
well_value,outcome,case
approval,include,authorization
trigger_condition,arise,template_example
component_cover_specifi,approve,response
unspecifi,accept,method
plan_disaster,occur,utopia
cost_effectiveness_organization,choose,scenario_alternative
control_risks,provide,assurance_risk_response
monitor_control_risks,give,table_d_table
reserve_tracking,spend,focus_plan
depletion,hide,way
audits,provide,risk_assessment_project
trend_analysis,provide,indication
reporting_effectiveness,understand,analysis
execution,provide,organization
execution,provide,information
period_effectiveness_action,take,action_require
process_assets,trend,trend_analysis
guideline,use,standardization
purpose,consider,demonstration_assumption
decision_consideration_implication,choose,use
probability_occurrence_impact,perform,risk_analysis_process
opportunity,reduce,measure
opportunity,reduce,risk
respond,give,risk
risk_attitude,choose,disposition
behavior_risk_attitude,exist,risk_attitude
risk_breakdown_structure,tailor,potential
category,include,see
person,ensure,response_strategy
initiate_cause,give,causal_chain
customer_sponsor,perform,organization_public
